evaluation_function,game_depth,move_counts,avg_decision_times,avg_move_scores,avg_game_times,outcome
improved,1,6,0.08,2.0,0.41,1
improved,1,6,0.08,2.0,0.4,1
improved,1,6,0.08,2.0,0.39,1
improved,2,6,9.42,2.0,47.09,1
improved,2,6,9.32,2.0,46.62,1
improved,2,6,9.47,2.0,47.36,1
