,h2,h2,h3,h3
,Avg run time,Avg #nodes Explr,Avg run time,Avg #nodes Explr
8,0.00036387150000045666,23.5,0.0004291026999998948,23.5
15,0.00595998965000053,193.5,0.007131843899999701,193.35
24,0.5057157565000002,2268.75,0.5225843649000008,2268.75
